# Screen coverage audit: does a usable screen exist for each of the 296 mock screens.
# Partial ('In progress') = a real shortfall. A complete feature in a tab or modal counts as Done.
# id	frontend	api	where	note
SCR-001	Done	Not required	/	Hero, feature cards, portal links, health badge
SCR-002	Partial	Not required	/	Role buttons on landing, no workspace chooser
SCR-003	Done	Done	/school/login and six other portals	Seven sign-in pages, each posts auth/login
SCR-004	Missing	Missing	-	No forgot-password UI or endpoint anywhere
SCR-005	Missing	Partial	-	Only an admin-issued temporary password
SCR-006	Missing	Missing	-	Parent login says OTP coming soon
SCR-007	Partial	Partial	/teacher/change-password	Missing for admin, principal, accountant, parent
SCR-008	Missing	Not required	-	Guards redirect on 401; no screen
SCR-009	Done	Done	/super-admin	Usage counters, renewals, CSV export
SCR-010	Done	Done	/super-admin/tenants	Paginated table with search and status
SCR-011	Done	Done	/super-admin/tenants	Creates tenant, school and admin
SCR-012	Done	Done	/super-admin/tenants/[id]	Subscription, schools, usage, payments, suspend
SCR-013	Done	Done	/super-admin/plans	List plus create and edit
SCR-014	Partial	Partial	/super-admin/tenants/[id]	Per-tenant cards, no billing screen
SCR-015	Partial	Done	/super-admin/tenants/[id]	Usage versus quota card only
SCR-016	Missing	Missing	-	No platform user management
SCR-017	Missing	Missing	-	No ticketing anywhere
SCR-018	Partial	Partial	/	Online pill only, two health endpoints
SCR-019	Missing	Missing	-	No global announcements
SCR-020	Missing	Missing	-	No platform settings screen
SCR-021	Partial	Done	/super-admin/tenants/[id]	Read-only header; patch endpoint unused
SCR-022	Partial	Partial	/super-admin/tenants/[id]	Name and code list only
SCR-023	Partial	Partial	/super-admin/tenants	School only creatable with a new tenant
SCR-024	Done	Done	/school/profile	Identity, contacts, address, timezone, currency
SCR-025	Done	Done	/school/roles	Branches table with head and counts
SCR-026	Done	Done	/school/roles	Inline branch form with head and main flag
SCR-027	Partial	Done	/school/roles	Edit form, no branch detail page
SCR-028	Done	Done	/school/academic-years	Create, set current, archive, terms
SCR-029	Done	Done	/school/classes	Create, rename, delete, reorder
SCR-030	Done	Done	/school/classes	Sections plus subject and teacher assignment
SCR-031	Done	Done	/school/departments	Create and update with head
SCR-032	Done	Done	/school/profile	App name, logo, brand colour
SCR-033	Done	Done	/school	Dashboard stat cards and panels
SCR-034	Done	Done	/principal	Principal overview dashboard
SCR-035	Done	Done	/teacher	Today classes and stat cards
SCR-036	Done	Done	/student	Homework due, today's lessons, attendance, notices
SCR-037	Done	Done	/parent	Children cards, notices, holidays
SCR-038	Partial	Missing	/accountant	Forty-line stub with one link
SCR-039	Missing	Partial	-	No HR portal; pipeline endpoint unused
SCR-040	Partial	Done	/school/admissions	Pipeline exists, no officer portal
SCR-041	Partial	Done	/school/transport	Real dashboard, school-admin only
SCR-042	Partial	Done	/school/library	Library dashboard is school-admin only
SCR-043	Partial	Done	/school/admissions	Stat cards atop the list; no dashboard page
